Home,Away,Score(Home-Away),Date
BOS,NYK,132-109,2024-10-22
LAL,MIN,110-103,2024-10-22
DET,IND,109-115,2024-10-23
ATL,BRK,120-116,2024-10-23
MIA,ORL,97-116,2024-10-23
PHI,MIL,109-124,2024-10-23
TOR,CLE,106-136,2024-10-23
HOU,CHO,105-110,2024-10-23
NOP,CHI,123-111,2024-10-23
UTA,MEM,124-126,2024-10-23
LAC,PHO,113-116,2024-10-23
POR,GSW,104-140,2024-10-23
WAS,BOS,102-122,2024-10-24
DAL,SAS,120-109,2024-10-24
SAC,MIN,115-117,2024-10-24
DEN,OKC,87-102,2024-10-24
ORL,BRK,116-101,2024-10-25
TOR,PHI,115-107,2024-10-25
ATL,CHO,125-120,2024-10-25
CLE,DET,113-101,2024-10-25
NYK,IND,123-98,2024-10-25
HOU,MEM,128-108,2024-10-25
MIL,CHI,122-133,2024-10-25
UTA,GSW,86-127,2024-10-25
LAL,PHO,123-116,2024-10-25
POR,NOP,103-105,2024-10-25
DEN,LAC,104-109,2024-10-26
WAS,CLE,116-135,2024-10-26
DET,BOS,118-124,2024-10-26
CHO,MIA,106-114,2024-10-26
MEM,ORL,124-111,2024-10-26
MIN,TOR,112-101,2024-10-26
CHI,OKC,95-114,2024-10-26
SAS,HOU,109-106,2024-10-26
PHO,DAL,114-102,2024-10-26
LAL,SAC,131-127,2024-10-26
IND,PHI,114-118,2024-10-27
POR,NOP,125-103,2024-10-27
BRK,MIL,115-102,2024-10-27
OKC,ATL,128-104,2024-10-27
GSW,LAC,104-112,2024-10-27
ORL,IND,119-115,2024-10-28
ATL,WAS,119-121,2024-10-28
BOS,MIL,119-108,2024-10-28
TOR,DEN,125-127,2024-10-28
MIA,DET,106-98,2024-10-28
NYK,CLE,104-110,2024-10-28
SAS,HOU,101-106,2024-10-28
MEM,CHI,123-126,2024-10-28
DAL,UTA,110-102,2024-10-28
SAC,POR,111-98,2024-10-28
PHO,LAL,109-105,2024-10-28
BRK,DEN,139-144,2024-10-29
MIN,DAL,114-120,2024-10-29
UTA,SAC,96-113,2024-10-29
GSW,NOP,124-106,2024-10-29
PHI,DET,95-105,2024-10-30
WAS,ATL,133-120,2024-10-30
IND,BOS,135-132,2024-10-30
CLE,LAL,134-110,2024-10-30
CHO,TOR,138-133,2024-10-30
MIA,NYK,107-116,2024-10-30
CHI,ORL,102-99,2024-10-30
MEM,BRK,106-119,2024-10-30
OKC,SAS,105-93,2024-10-30
GSW,NOP,104-89,2024-10-30
LAC,POR,105-106,2024-10-30
MEM,MIL,122-99,2024-10-31
DAL,HOU,102-108,2024-10-31
UTA,SAS,88-106,2024-10-31
LAC,PHO,119-125,2024-10-31
CHO,BOS,109-124,2024-11-01
CLE,ORL,120-109,2024-11-01
DET,NYK,98-128,2024-11-01
ATL,SAC,115-123,2024-11-01
BRK,CHI,120-112,2024-11-01
TOR,LAL,125-131,2024-11-01
NOP,IND,125-118,2024-11-01
MIN,DEN,119-116,2024-11-01
POR,OKC,114-137,2024-11-01
CHO,BOS,103-113,2024-11-02
PHI,MEM,107-124,2024-11-02
TOR,SAC,131-128,2024-11-02
HOU,GSW,121-127,2024-11-02
MIL,CLE,113-114,2024-11-02
SAS,MIN,113-103,2024-11-02
WAS,MIA,98-118,2024-11-02
DEN,UTA,129-103,2024-11-02
PHO,POR,103-97,2024-11-02
LAC,OKC,92-105,2024-11-02
BRK,DET,92-106,2024-11-03
NOP,ATL,111-126,2024-11-03
DAL,ORL,108-85,2024-11-03
CLE,MIL,116-114,2024-11-04
WAS,GSW,112-125,2024-11-04
DET,LAL,115-103,2024-11-04
ATL,BOS,93-123,2024-11-04
BRK,MEM,106-104,2024-11-04
MIA,SAC,110-111,2024-11-04
CHI,UTA,126-135,2024-11-04
HOU,NYK,109-97,2024-11-04
MIN,CHO,114-93,2024-11-04
OKC,ORL,102-86,2024-11-04
NOP,POR,100-118,2024-11-04
DAL,IND,127-134,2024-11-04
DEN,TOR,121-119,2024-11-04
PHO,PHI,118-116,2024-11-04
LAC,SAS,113-104,2024-11-04
CHO,DET,108-107,2024-11-06
IND,ORL,118-111,2024-11-06
ATL,NYK,121-116,2024-11-06
BOS,GSW,112-118,2024-11-06
HOU,SAS,127-100,2024-11-06
MEM,LAL,131-114,2024-11-06
NOP,CLE,122-131,2024-11-06
DAL,CHI,119-99,2024-11-06
DEN,OKC,124-122,2024-11-06
PHO,MIA,115-112,2024-11-06
LAC,PHI,110-98,2024-11-06
SAC,TOR,122-107,2024-11-06
CHI,MIN,119-135,2024-11-07
MIL,UTA,123-100,2024-11-07
SAS,POR,118-105,2024-11-07
CHO,IND,103-83,2024-11-08
DET,ATL,122-121,2024-11-08
ORL,NOP,115-88,2024-11-08
BOS,BRK,108-104,2024-11-08
CLE,GSW,136-117,2024-11-08
DAL,PHO,113-114,2024-11-08
NYK,MIL,116-94,2024-11-08
MEM,WAS,128-104,2024-11-08
OKC,HOU,126-107,2024-11-08
DEN,MIA,135-122,2024-11-08
MIN,POR,127-102,2024-11-08
LAL,PHI,116-106,2024-11-08
SAC,LAC,98-107,2024-11-08
SAS,UTA,110-111,2024-11-09
ATL,CHI,113-125,2024-11-09
CLE,BRK,105-100,2024-11-09
LAC,TOR,105-103,2024-11-09
DET,HOU,99-101,2024-11-10
MIL,BOS,107-113,2024-11-10
IND,NYK,132-121,2024-11-10
ORL,WAS,121-94,2024-11-10
MIN,MIA,94-95,2024-11-10
OKC,GSW,116-127,2024-11-10
PHI,CHO,107-105,2024-11-10
DEN,DAL,122-120,2024-11-10
PHO,SAC,118-127,2024-11-10
POR,MEM,89-134,2024-11-10
LAL,TOR,123-103,2024-11-10
CHI,CLE,113-119,2024-11-11
HOU,WAS,107-92,2024-11-11
NOP,BRK,105-107,2024-11-11
OKC,LAC,134-128,2024-11-11
SAS,SAC,116-96,2024-11-11
BOS,ATL,116-117,2024-11-12
DET,MIA,123-121,2024-11-12
ORL,CHO,114-89,2024-11-12
PHI,NYK,99-111,2024-11-12
MIL,TOR,99-85,2024-11-12
UTA,PHO,112-120,2024-11-12
GSW,DAL,120-117,2024-11-12
POR,MIN,122-108,2024-11-12
ORL,IND,94-90,2024-11-13
BRK,BOS,114-139,2024-11-13
NYK,CHI,123-124,2024-11-13
OKC,NOP,106-88,2024-11-13
PHI,CLE,106-114,2024-11-13
HOU,LAC,111-103,2024-11-13
MIL,DET,127-120,2024-11-13
SAS,WAS,139-130,2024-11-13
LAL,MEM,128-123,2024-11-13
POR,MIN,106-98,2024-11-13
SAC,PHO,127-104,2024-11-13
UTA,DAL,115-113,2024-11-14
IND,MIA,111-124,2024-11-15
ORL,PHI,98-86,2024-11-15
TOR,DET,95-99,2024-11-15
ATL,WAS,129-117,2024-11-15
CLE,CHI,144-126,2024-11-15
NYK,BRK,124-122,2024-11-15
SAS,LAL,115-120,2024-11-15
HOU,LAC,125-104,2024-11-15
NOP,DEN,101-94,2024-11-15
OKC,PHO,99-83,2024-11-15
GSW,MEM,123-118,2024-11-15
SAC,MIN,126-130,2024-11-15
CHO,MIL,115-114,2024-11-16
BOS,TOR,126-123,2024-11-16
NOP,LAL,99-104,2024-11-16
DAL,SAS,110-93,2024-11-16
SAC,UTA,121-117,2024-11-16
MIN,PHO,120-117,2024-11-17
IND,MIA,119-110,2024-11-17
CLE,CHO,128-114,2024-11-17
MEM,DEN,105-90,2024-11-17
POR,ATL,114-110,2024-11-17
WAS,DET,104-124,2024-11-17
CHI,HOU,107-143,2024-11-17
NYK,BRK,114-104,2024-11-17
OKC,DAL,119-121,2024-11-17
LAC,UTA,116-105,2024-11-17
DET,CHI,112-122,2024-11-18
MIA,PHI,106-89,2024-11-18
NYK,WAS,134-106,2024-11-18
TOR,IND,130-119,2024-11-18
MIL,HOU,101-100,2024-11-18
PHO,ORL,99-109,2024-11-18
SAC,ATL,108-109,2024-11-18
LAC,GSW,102-99,2024-11-18
BOS,CLE,120-117,2024-11-19
BRK,CHO,116-115,2024-11-19
MEM,DEN,110-122,2024-11-19
DAL,NOP,132-91,2024-11-19
SAS,OKC,110-104,2024-11-19
LAL,UTA,124-118,2024-11-19
CLE,NOP,128-100,2024-11-20
MIL,CHI,122-106,2024-11-20
HOU,IND,130-113,2024-11-20
MEM,PHI,117-111,2024-11-20
OKC,POR,109-99,2024-11-20
GSW,ATL,120-97,2024-11-20
PHO,NYK,122-138,2024-11-20
LAC,ORL,104-93,2024-11-20
CHO,DET,123-121,2024-11-21
TOR,MIN,110-105,2024-11-21
SAS,UTA,126-118,2024-11-21
LAL,ORL,118-119,2024-11-21
PHI,BRK,113-98,2024-11-22
WAS,BOS,96-108,2024-11-22
NOP,GSW,108-112,2024-11-22
CHI,ATL,136-122,2024-11-22
HOU,POR,116-88,2024-11-22
MIL,IND,129-117,2024-11-22
DEN,DAL,120-123,2024-11-22
LAC,SAC,104-88,2024-11-22
UTA,NYK,121-106,2024-11-23
ORL,DET,111-100,2024-11-23
CHI,MEM,131-142,2024-11-23
HOU,POR,98-104,2024-11-23
MIL,CHO,125-119,2024-11-23
SAS,GSW,104-94,2024-11-23
LAL,DEN,102-127,2024-11-23
BOS,MIN,107-105,2024-11-24
IND,WAS,115-103,2024-11-24
MIA,DAL,123-118,2024-11-24
PHI,LAC,99-125,2024-11-24
CLE,TOR,122-108,2024-11-24
SAC,BRK,103-108,2024-11-24
CHO,ORL,84-95,2024-11-25
DET,TOR,102-100,2024-11-25
IND,NOP,114-110,2024-11-25
ATL,DAL,119-129,2024-11-25
BOS,LAC,126-94,2024-11-25
MEM,POR,123-98,2024-11-25
DEN,NYK,118-145,2024-11-25
GSW,BRK,120-128,2024-11-25
SAC,OKC,109-130,2024-11-25
WAS,CHI,108-127,2024-11-26
MIA,MIL,103-106,2024-11-26
MIN,HOU,111-117,2024-11-26
UTA,SAS,115-128,2024-11-26
PHO,LAL,127-100,2024-11-26
CHO,MIA,94-98,2024-11-27
CLE,ATL,124-135,2024-11-27
IND,POR,121-114,2024-11-27
ORL,CHI,133-119,2024-11-27
PHI,HOU,115-122,2024-11-27
WAS,LAC,96-121,2024-11-27
DAL,NYK,129-114,2024-11-27
MEM,DET,131-111,2024-11-27
MIN,SAC,104-115,2024-11-27
NOP,TOR,93-119,2024-11-27
SAS,LAL,101-119,2024-11-27
PHO,BRK,117-127,2024-11-27
UTA,DEN,103-122,2024-11-27
GSW,OKC,101-105,2024-11-27
CHO,NYK,98-99,2024-11-29
ATL,CLE,117-101,2024-11-29
MEM,NOP,120-109,2024-11-29
BRK,ORL,100-123,2024-11-29
MIN,LAC,93-92,2024-11-29
CHI,BOS,129-138,2024-11-29
IND,DET,106-130,2024-11-29
MIA,TOR,121-111,2024-11-29
LAL,OKC,93-101,2024-11-29
POR,SAC,115-106,2024-11-29
CHO,ATL,104-107,2024-11-30
DET,PHI,96-111,2024-11-30
MIL,WAS,124-114,2024-11-30
PHO,GSW,113-105,2024-11-30
UTA,DAL,94-106,2024-11-30
BRK,ORL,92-100,2024-12-01
MEM,IND,136-121,2024-12-01
CLE,BOS,115-111,2024-12-01
NYK,NOP,118-85,2024-12-01
TOR,MIA,119-116,2024-12-01
HOU,OKC,119-116,2024-12-01
UTA,LAL,104-105,2024-12-01
POR,DAL,131-137,2024-12-01
SAC,SAS,125-127,2024-12-01
LAC,DEN,126-122,2024-12-01
ATL,NOP,124-112,2024-12-02
BOS,MIA,108-89,2024-12-02
CHI,BRK,128-102,2024-12-02
MIN,LAL,109-80,2024-12-02
CHO,PHI,104-110,2024-12-03
CLE,WAS,118-87,2024-12-03
DET,MIL,107-128,2024-12-03
NYK,ORL,121-106,2024-12-03
TOR,IND,122-111,2024-12-03
OKC,UTA,133-106,2024-12-03
DAL,MEM,121-116,2024-12-03
PHO,SAS,104-93,2024-12-03
DEN,GSW,119-115,2024-12-03
SAC,HOU,120-111,2024-12-03
LAC,POR,127-105,2024-12-03
BOS,DET,130-120,2024-12-04
BRK,IND,99-90,2024-12-04
MIA,LAL,134-93,2024-12-04
PHI,ORL,102-106,2024-12-04
MIL,ATL,104-119,2024-12-04
LAC,MIN,80-108,2024-12-04
CLE,DEN,126-114,2024-12-05
WAS,DAL,101-137,2024-12-05
NYK,CHO,125-101,2024-12-05
TOR,OKC,92-129,2024-12-05
MEM,SAC,115-110,2024-12-05
NOP,PHO,126-124,2024-12-05
SAS,CHI,124-139,2024-12-05
GSW,HOU,99-93,2024-12-05
PHI,ORL,102-94,2024-12-06
ATL,LAL,134-132,2024-12-06
BOS,MIL,111-105,2024-12-06
CHI,IND,123-132,2024-12-06
SAS,SAC,113-140,2024-12-06
GSW,MIN,90-107,2024-12-06
POR,UTA,99-141,2024-12-06
CHO,CLE,102-116,2024-12-07
NOP,OKC,109-119,2024-12-07
WAS,DEN,122-113,2024-12-07
NYK,DET,111-120,2024-12-07
TOR,DAL,118-125,2024-12-07
BOS,MEM,121-127,2024-12-07
MIA,PHO,121-111,2024-12-07
CHI,PHI,100-108,2024-12-08
BRK,MIL,113-118,2024-12-08
IND,CHO,109-113,2024-12-08
ATL,DEN,111-141,2024-12-08
MIA,CLE,122-113,2024-12-08
ORL,PHO,115-110,2024-12-08
SAS,NOP,121-116,2024-12-08
WAS,MEM,112-140,2024-12-08
GSW,MIN,114-106,2024-12-08
LAC,HOU,106-117,2024-12-08
SAC,UTA,141-97,2024-12-08
LAL,POR,107-98,2024-12-08
TOR,NYK,108-113,2024-12-09
MIL,ORL,114-109,2024-12-10
OKC,DAL,118-104,2024-12-10
NYK,ATL,100-108,2024-12-11
HOU,GSW,91-90,2024-12-11
BOS,DET,123-99,2024-12-12
MIA,TOR,114-104,2024-12-12
NOP,SAC,109-111,2024-12-12
CLE,WAS,115-105,2024-12-13
PHI,IND,107-121,2024-12-13
CHI,CHO,109-95,2024-12-13
