id,FirstName,LastName,TeamKey,Points,Assists,Rebounds,Turnovers,Steals,Blocks
1,Shai,Gilgeous-Alexander,OKC,32.7,6.4,5.0,2.4,1.7,1.0
2,Giannis,Antetokounmpo,MIL,30.4,6.5,11.9,3.1,0.9,1.2
3,Nikola,Jokić,DEN,29.6,10.2,12.7,3.3,1.8,0.6
4,Luka,Dončić,LAL,28.2,7.7,8.2,3.6,1.8,0.4
5,Anthony,Edwards,MIN,27.6,4.5,5.7,3.2,1.2,0.6
6,Jayson,Tatum,BOS,26.8,6.0,8.7,2.9,1.1,0.5
7,Kevin,Durant,PHO,26.6,4.2,6.0,3.1,0.8,1.2
8,Tyrese,Maxey,PHI,26.3,6.1,3.3,2.4,1.8,0.4
9,Cade,Cunningham,DET,26.1,9.1,6.1,4.4,1.0,0.8
10,Jalen,Brunson,NYK,26.0,7.3,2.9,2.5,0.9,0.1
11,Paolo,Banchero,ORL,25.9,4.8,7.5,3.0,0.8,0.6
12,Devin,Booker,PHO,25.6,7.1,4.1,2.9,0.9,0.2
13,LaMelo,Ball,CHO,25.2,7.4,4.9,3.6,1.1,0.3
14,Damian,Lillard,MIL,24.9,7.1,4.7,2.8,1.2,0.2
15,Anthony,Davis,DAL,24.7,3.5,11.6,2.2,1.2,2.2
16,Kyrie,Irving,DAL,24.7,4.6,4.8,2.2,1.3,0.5
17,Zion,Williamson,NOP,24.6,5.3,7.2,3.0,1.2,0.9
18,Stephen,Curry,GSW,24.5,6.0,4.4,2.9,1.1,0.4
19,LeBron,James,LAL,24.4,8.2,7.8,3.7,1.0,0.6
20,Karl-Anthony,Towns,NYK,24.4,3.1,12.8,2.7,1.0,0.7
21,Victor,Wembanyama,SAS,24.3,3.7,11.0,3.2,1.1,3.8
22,Franz,Wagner,ORL,24.2,4.7,5.7,2.3,1.3,0.4
23,Trae,Young,ATL,24.2,11.6,3.1,4.7,1.2,0.2
24,Donovan,Mitchell,CLE,24.0,5.0,4.5,2.1,1.3,0.2
25,Cam,Thomas,BRK,24.0,3.8,3.3,2.5,0.6,0.1
26,Tyler,Herro,MIA,23.9,5.5,5.2,2.6,0.9,0.2
27,Joel,Embiid,PHI,23.8,4.5,8.2,3.3,0.7,0.9
28,De'Aaron,Fox,SAS,23.5,6.3,4.8,2.8,1.5,0.4
29,Zach,LaVine,SAC,23.3,4.2,4.3,2.8,0.8,0.2
30,Ja,Morant,MEM,23.2,7.3,4.1,3.7,1.2,0.2
31,James,Harden,LAC,22.8,8.7,5.8,4.3,1.5,0.7
32,Jaylen,Brown,BOS,22.2,4.5,5.8,2.6,1.2,0.3
33,DeMar,DeRozan,SAC,22.2,4.4,3.9,1.4,0.8,0.4
34,Brandon,Ingram,NOP,22.2,5.2,5.6,3.8,0.9,0.6
35,Jaren,Jackson Jr.,MEM,22.2,2.0,5.6,2.1,1.2,1.5
36,Norman,Powell,LAC,21.8,2.1,3.2,1.8,1.2,0.2
37,Jalen,Williams,OKC,21.6,5.1,5.3,2.2,1.6,0.7
38,Kawhi,Leonard,LAC,21.5,3.1,5.9,1.9,1.6,0.5
39,Jamal,Murray,DEN,21.4,6.0,3.9,2.1,1.4,0.5
40,Trey,Murphy III,NOP,21.2,3.5,5.1,1.9,1.1,0.7
41,RJ,Barrett,TOR,21.1,5.4,6.3,2.8,0.8,0.3
42,CJ,McCollum,NOP,21.1,4.1,3.8,1.9,0.8,0.4
43,Jalen,Green,HOU,21.0,3.4,4.6,2.5,0.9,0.3
44,Brandon,Miller,CHO,21.0,3.6,4.9,2.8,1.1,0.7
45,Darius,Garland,CLE,20.6,6.7,2.9,2.5,1.2,0.1
46,Jordan,Poole,WAS,20.5,4.5,3.0,3.0,1.3,0.4
47,Coby,White,CHI,20.4,4.5,3.7,2.4,0.9,0.2
48,Miles,Bridges,CHO,20.3,3.9,7.5,2.1,0.7,0.7
49,Austin,Reaves,LAL,20.2,5.8,4.5,2.4,1.1,0.3
50,Pascal,Siakam,IND,20.2,3.4,6.9,1.4,0.9,0.5
51,Kristaps,Porziņģis,BOS,19.5,2.1,6.8,1.3,0.7,1.5
52,Scottie,Barnes,TOR,19.3,5.8,7.7,2.8,1.4,1.0
53,Anfernee,Simons,POR,19.3,4.8,2.7,2.0,0.9,0.1
54,Desmond,Bane,MEM,19.2,5.3,6.1,2.4,1.2,0.4
55,Domantas,Sabonis,SAC,19.1,6.0,13.9,2.9,0.7,0.4
56,Alperen,Şengün,HOU,19.1,4.9,10.3,2.6,1.1,0.8
57,John,Collins,UTA,19.0,2.0,8.2,2.6,1.0,1.0
58,Lauri,Markkanen,UTA,19.0,1.5,5.9,1.4,0.7,0.4
59,Jalen,Johnson,ATL,18.9,5.0,10.0,2.9,1.6,1.0
60,Cameron,Johnson,BRK,18.8,3.4,4.3,1.7,0.9,0.4
61,Julius,Randle,MIN,18.7,4.7,7.1,2.8,0.7,0.2
62,Tyrese,Haliburton,IND,18.6,9.2,3.5,1.6,1.4,0.7
63,Evan,Mobley,CLE,18.5,3.2,9.3,2.0,0.9,1.6
64,Shaedon,Sharpe,POR,18.5,2.8,4.5,2.1,0.9,0.2
65,Nikola,Vučević,CHI,18.5,3.5,10.1,1.6,0.8,0.7
66,Collin,Sexton,UTA,18.4,4.2,2.7,2.5,0.7,0.1
67,Michael,Porter Jr.,DEN,18.2,2.1,7.0,1.4,0.6,0.5
68,Bam,Adebayo,MIA,18.1,4.3,9.6,2.1,1.3,0.7
69,Andrew,Wiggins,MIA,18.0,2.6,4.5,1.7,1.0,0.8
70,OG,Anunoby,NYK,18.0,2.2,4.8,1.4,1.5,0.9
71,Mikal,Bridges,NYK,17.6,3.7,3.2,1.6,0.9,0.5
72,Jaden,Ivey,DET,17.6,4.0,4.1,3.0,0.9,0.4
73,Jimmy,Butler,GSW,17.5,5.4,5.4,1.3,1.4,0.3
74,Dejounte,Murray,NOP,17.5,7.4,6.5,3.4,2.0,0.4
75,Malik,Monk,SAC,17.2,5.6,3.8,2.4,0.9,0.6
76,Immanuel,Quickley,TOR,17.1,5.8,3.5,1.8,0.7,0.1
77,De'Andre,Hunter,CLE,17.0,1.4,4.0,1.3,0.8,0.2
78,Bradley,Beal,PHO,17.0,3.7,3.3,1.9,1.1,0.5
79,Deni,Avdija,POR,16.9,3.9,7.3,2.7,1.0,0.5
80,Keyonte,George,UTA,16.8,5.6,3.8,2.7,0.7,0.1
81,Ivica,Zubac,LAC,16.8,2.7,12.6,1.6,0.7,1.1
82,Derrick,White,BOS,16.4,4.8,4.5,1.7,0.9,1.1
83,Malik,Beasley,DET,16.3,1.7,2.6,1.0,0.9,0.1
84,Devin,Vassell,SAS,16.3,2.9,4.0,1.4,1.3,0.5
85,Jordan,Clarkson,UTA,16.2,3.7,3.2,2.3,0.8,0.2
86,Paul,George,PHI,16.2,4.3,5.3,2.6,1.8,0.5
87,Jalen,Suggs,ORL,16.2,3.7,4.0,2.9,1.5,0.9
88,Bennedict,Mathurin,IND,16.1,1.9,5.3,1.9,0.7,0.3
89,Myles,Turner,IND,15.6,1.5,6.5,1.7,0.8,2.0
90,Christian,Braun,DEN,15.4,2.6,5.2,1.0,1.1,0.5
91,Jonathan,Kuminga,GSW,15.3,2.2,4.6,1.5,0.8,0.4
92,Jared,McCain,PHI,15.3,2.6,2.4,1.6,0.7,0.0
93,Mark,Williams,CHO,15.3,2.5,10.2,1.6,0.7,1.2
94,Kelly,Oubre Jr.,PHI,15.1,1.8,6.1,1.3,1.5,0.5
95,Chet,Holmgren,OKC,15.0,2.0,8.0,1.8,0.7,2.2
96,Kyle,Kuzma,MIL,14.8,2.3,5.7,2.2,0.6,0.3
97,Stephon,Castle,SAS,14.7,4.1,3.7,2.2,0.9,0.3
98,Aaron,Gordon,DEN,14.7,3.2,4.8,1.4,0.5,0.3
99,P.J.,Washington,DAL,14.7,2.3,7.8,2.1,1.1,1.1
100,Quentin,Grimes,PHI,14.6,3.0,4.3,1.9,1.0,0.3
101,Josh,Giddey,CHI,14.6,7.2,8.1,2.9,1.2,0.6
102,Jakob,Poeltl,TOR,14.5,2.8,9.6,1.9,1.2,1.2
103,Deandre,Ayton,POR,14.4,1.6,10.2,1.7,0.8,1.0
104,Gradey,Dick,TOR,14.4,1.8,3.6,1.5,0.9,0.2
105,Jerami,Grant,POR,14.4,2.1,3.5,1.4,0.9,1.0
106,Payton,Pritchard,BOS,14.3,3.5,3.8,1.0,0.9,0.2
107,Naz,Reid,MIN,14.2,2.3,6.0,1.4,0.7,0.9
108,Dyson,Daniels,ATL,14.1,4.4,5.9,2.0,3.0,0.7
109,Tre,Mann,CHO,14.1,3.0,2.9,1.9,0.5,0.3
110,Amen,Thompson,HOU,14.1,3.8,8.2,2.0,1.4,1.3
111,Fred,VanVleet,HOU,14.1,5.6,3.7,1.5,1.6,0.4
112,Dillon,Brooks,HOU,14.0,1.7,3.7,1.0,0.8,0.2
113,Tolu,Smith,DET,14.0,0.0,8.0,2.0,0.0,0.0
114,Klay,Thompson,DAL,14.0,2.0,3.4,1.2,0.7,0.4
115,Bobby,Portis,MIL,13.9,2.1,8.4,1.2,0.7,0.5
116,Tobias,Harris,DET,13.7,2.2,5.9,1.2,1.0,0.8
117,Josh,Hart,NYK,13.6,5.9,9.6,2.1,1.5,0.4
118,Jarrett,Allen,CLE,13.5,1.9,9.7,1.2,0.9,0.9
119,Onyeka,Okongwu,ATL,13.4,2.3,8.9,1.2,0.9,0.9
120,Russell,Westbrook,DEN,13.3,6.1,4.9,3.2,1.4,0.5
121,Naji,Marshall,DAL,13.2,3.0,4.8,1.6,1.0,0.2
122,Dennis,Schröder,DET,13.1,5.4,2.6,1.9,0.9,0.2
123,Rui,Hachimura,LAL,13.1,1.4,5.0,0.8,0.8,0.4
124,Brook,Lopez,MIL,13.0,1.8,5.0,1.1,0.6,1.9
125,Alex,Sarr,WAS,13.0,2.4,6.5,1.7,0.7,1.5
126,Moritz,Wagner,ORL,12.9,1.4,4.9,1.6,0.8,0.4
127,Malcolm,Brogdon,WAS,12.7,4.1,3.8,1.6,0.5,0.2
128,Scoot,Henderson,POR,12.7,5.1,3.0,2.7,1.0,0.2
129,Keldon,Johnson,SAS,12.7,1.6,4.8,1.0,0.6,0.3
130,D'Angelo,Russell,BRK,12.6,5.1,2.8,1.9,1.0,0.4
131,Zaccharie,Risacher,ATL,12.6,1.2,3.6,1.2,0.7,0.5
132,Santi,Aldama,MEM,12.5,2.9,6.4,1.1,0.8,0.4
133,Ty,Jerome,CLE,12.5,3.4,2.5,1.3,1.1,0.0
134,Keegan,Murray,SAC,12.4,1.4,6.7,0.8,0.8,0.9
135,Lonnie,Walker IV,PHI,12.4,2.5,3.2,1.3,0.5,0.3
136,Harrison,Barnes,SAS,12.3,1.7,3.8,0.6,0.5,0.2
137,Bilal,Coulibaly,WAS,12.3,3.4,5.0,2.1,1.3,0.7
138,Ayo,Dosunmu,CHI,12.3,4.5,3.5,1.5,0.9,0.4
139,Daniel,Gafford,DAL,12.3,1.4,6.8,1.2,0.4,1.8
140,Jaden,McDaniels,MIN,12.2,2.0,5.7,1.2,1.3,0.9
141,Jabari,Smith Jr.,HOU,12.2,1.1,7.0,1.1,0.4,0.7
142,Caris,LeVert,ATL,12.1,3.4,3.2,1.2,0.9,0.5
143,Drew,Timme,BRK,12.1,2.2,7.2,1.7,0.4,0.1
144,Tari,Eason,HOU,12.0,1.5,6.4,1.1,1.7,0.9
145,Rudy,Gobert,MIN,12.0,1.8,10.9,1.2,0.8,1.4
146,Aaron,Nesmith,IND,12.0,1.2,4.0,0.8,0.8,0.4
147,Aaron,Wiggins,OKC,12.0,1.8,3.9,0.9,0.8,0.2
148,Khris,Middleton,WAS,11.9,4.1,3.7,1.5,0.9,0.2
149,Jalen,Duren,DET,11.8,2.7,10.3,1.7,0.7,1.1
150,Donte,DiVincenzo,MIN,11.7,3.6,3.7,1.6,1.2,0.3
151,Brandin,Podziemski,GSW,11.7,3.4,5.1,1.2,1.1,0.2
152,Corey,Kispert,WAS,11.6,1.7,3.0,1.0,0.4,0.2
153,Jeremy,Sochan,SAS,11.4,2.4,6.5,1.6,0.8,0.5
154,Toumani,Camara,POR,11.3,2.2,5.8,1.4,1.5,0.6
155,Isaiah,Hartenstein,OKC,11.2,3.8,10.7,1.7,0.8,1.1
156,Buddy,Hield,GSW,11.1,1.6,3.2,1.1,0.8,0.3
157,Jrue,Holiday,BOS,11.1,3.9,4.3,1.2,1.1,0.4
158,Walker,Kessler,UTA,11.1,1.7,12.2,1.5,0.6,2.4
159,Gary,Trent Jr.,MIL,11.1,1.2,2.3,0.6,1.0,0.1
160,Spencer,Dinwiddie,DAL,11.0,4.4,2.6,1.3,0.9,0.2
161,Tim,Hardaway Jr.,DET,11.0,1.6,2.4,0.6,0.5,0.1
162,Duncan,Robinson,MIA,11.0,2.4,2.3,1.2,0.5,0.1
163,Guerschon,Yabusele,PHI,11.0,2.1,5.6,1.2,0.8,0.3
164,Brice,Sensabaugh,UTA,10.9,1.5,3.0,1.5,0.6,0.1
